gene1,gene2
3812,4852
6766,4319
7928,13406
4741,2081
12908,10879
12044,5674
12348,1462
16707,3208
2587,17208
14129,13669
659,10080
12103,4979
9225,6937
5414,17208
1292,10154
3625,3464
15717,3246
12724,1067
13554,9083
144,7154
1416,11355
8684,1067
5698,2656
5084,1672
12333,11738
2973,514
17183,17494
15872,7274
7499,5493
5247,15952
15722,17494
1264,15004
2615,12520
5384,15623
8374,8481
10845,6626
7161,7606
14571,4328
4138,5405
11231,7783
8891,16911
4066,7752
10296,12520
7402,7695
3784,13561
12605,8457
9447,2634
4803,8734
11011,9587
8464,3117
17573,4164
17525,9587
16732,3734
16039,15623
12010,1462
16386,12078
16856,12078
12264,8481
6599,8247
2265,10879
545,16911
6705,8457
14250,16029
5979,3488
2403,3932
10401,1209
5236,4057
10535,12078
14618,3628
11313,1477
6405,3201
11214,1016
5054,17208
3498,12078
10924,5283
15646,3628
15848,17494
8808,266
14980,1618
3004,1067
8020,2825
3989,8247
11934,12026
15303,1538
14278,1538
11677,3190
12610,8659
14787,9641
13186,9641
1156,7357
8509,5968
6501,3734
8717,14693
13343,10879
16779,514
9339,514
15329,7266
14309,8070
16104,8525
6032,15529
1599,7084
14185,9771
1146,2915
14461,6369
8457,6784
216,5283
15935,5561
16669,7695
16353,2080
495,7905
2377,9587
16543,6097
5542,3336
14394,12078
14793,12520
1672,14371
5424,14173
5770,14098
17734,8481
17623,6626
14674,17511
16971,8457
261,17777
6587,17494
14081,7905
5751,6626
9471,8481
7565,7905
5445,10504
15429,16911
13894,2081
7862,2334
16470,17553
782,3201
10441,10356
4081,17777
1616,266
11161,3734
23,12078
10468,3464
16048,14911
8724,3190
16323,5190
17514,2656
13641,9641
3767,6312
7939,4510
8874,15999
16834,3514
4872,14693
12983,514
10812,12333
16777,17494
9212,3406
10114,17311
88,5561
7903,1067
5107,6626
6170,6369
15106,9184
8090,6799
8148,3201
17226,1741
10620,4881
7154,3704
11309,3734
16003,5343
807,15952
5123,17636
2061,12078
342,1067
8817,2480
15967,4133
5244,3734
7860,7286
17241,9030
3844,8468
8045,616
11206,2873
8516,14098
11574,4155
9320,2844
7589,8481
11391,5405
3622,3734
421,11789
8158,8270
17850,860
7383,12078
16680,8727
4497,1741
16368,7154
7664,454
10431,2081
5055,9184
11700,9587
10695,7717
13733,266
4937,13561
13661,7154
2036,1373
9296,5637
12577,17311
10741,3238
16735,14552
11846,7133
14837,7133
4019,1538
11086,5405
15744,3514
3083,5561
11280,860
15886,9045
12066,13520
560,6050
16189,2081
8568,6312
14078,4935
1542,2097
14081,3464
11900,8525
8929,3246
11634,5950
4912,9641
13636,5441
6465,5441
7262,4129
8954,17494
4661,16242
281,12520
8564,7408
2730,6474
2836,6812
17664,6626
13903,9641
14990,8481
5449,11834
6935,8481
6296,15329
17471,15085
2991,5626
11678,9392
10622,14207
8357,3117
15991,5558
15083,4133
10835,14223
4730,3507
154,12078
5088,3488
9914,14144
10987,12078
9921,8359
16788,4319
16007,3117
17539,3236
7698,9587
7685,8386
13934,15111
476,10879
3095,3746
9933,16811
9524,4381
15122,5561
17142,7133
4757,13520
2271,1741
5800,3190
11064,5547
15771,454
13820,2081
4727,1075
9287,3734
11735,16966
6949,3734
14086,2943
17188,5493
8319,4309
15950,16242
13809,8481
3258,11472
2128,3734
12869,11594
1158,4935
14056,11789
7620,6651
2821,9858
13375,8481
7978,8727
6690,12507
5214,5405
9942,4935
13708,7783
6352,5626
3786,13983
17627,11789
13539,9392
12727,9392
10041,12642
17737,7758
17786,8457
8540,12565
10988,3932
13588,9589
11253,936
3353,936
2674,11064
11096,12078
12721,12078
5961,8481
4907,3117
15482,869
2480,11349
3608,8481
4192,13498
12946,5405
9753,7419
11952,16911
9862,1672
15232,3932
1404,13690
16760,8014
627,1387
425,5493
1534,3464
15726,13158
2618,7133
6296,10795
4942,2566
13619,2637
11678,1538
4267,514
9575,5493
13567,5283
654,5561
15726,12412
11111,14911
16903,8468
10212,11143
3451,11401
1744,6735
5650,8727
10317,4569
16846,696
16437,5493
5088,11594
5522,16698
12137,12520
12616,11064
4630,7084
13018,7154
9688,8481
921,14550
5510,9457
2031,17511
17494,9446
14636,9587
12543,16236
3616,8468
15861,2346
4143,13561
2079,7905
1541,3082
15489,7419
3005,17553
13325,9392
15523,3734
13462,514
8583,2346
10811,4698
17814,11789
3135,10106
12352,14911
14420,1462
16887,8481
7493,8481
1170,3488
2828,4319
14763,12147
8927,8005
15697,5405
4239,5637
15797,16911
8875,1506
6300,3201
2565,17029
16578,2081
15761,5626
16712,2720
11718,7133
920,13639
