KRTAP2-3,MYOZ2
RRAGB,ACTA1
NCKAP5L,TARDBP
SORBS1,RAD21
PRSS33,SUMO2
RLN3,CCND1
LALBA,TCTN3
CHRNA9,TCTN3
INSIG1,HIST1H1C
TMEM203,JUN
ZNF609,HDAC8
ATP5B,USP49
KRT40,WDYHV1
FAM160B1,HTT
DEGS1,USHBP1
KIAA0319,CDK2
CENPV,FATE1
KIAA1407,APP
UTRN,PCBP2
PPP1R12C,ARRB2
ZNF318,LIG4
USP27X,LIG4
TSSK1B,RPS11
SHC4,TRAF1
TBC1D3B,IKBKG
ACTR1B,RPAP2
TAF10,HNRNPH3
RPS10,KRTAP5-9
PPP1R14D,NRF1
KCNA5,PSMD2
MCOLN1,CSNK2A1
WEE1,USHBP1
HSPD1,CD14
ARL5B,LIG4
IQCA1,SOX2
ZNF555,SOX2
ANAPC4,UNC119
SIGLEC11,MAPK1
HADH,MEOX2
MBTD1,UBQLN4
TNFRSF25,MAPK11
SPTLC1,HDAC9
ND1,DDX3X
ASNA1,PAXIP1
PPCS,CTNNB1
GDAP1,CLK2
LEPROTL1,NPM1
DNTT,HDAC8
IRF8,HDAC8
NACA2,LIG4
MYOZ2,OTUB2
B2M,KRTAP10-8
DNASE2B,PAXIP1
TMEM126A,NOTCH2NL
CTTNBP2,HNRNPF
AP4S1,PML
ASH1L,TMEM17
NTSR2,TUBA1C
FAM114A2,KRTAP10-3
PEMT,PSMD2
TTR,RPS20
RUFY1,HIST1H3A
GIGYF2,CHM
GOLGA8G,SMARCB1
C19orf43,KRTAP10-3
SCRN1,KRTAP10-3
TFR2,CFTR
C6orf226,HSP90AB1
C12orf65,FN1
RND1,HSPA8
L3MBTL2,MDFI
ADAMTSL4,KPNA2
ATXN1,THOC5
RRM1,AIRE
ENGASE,LNX1
HECTD4,TMEM17
ALPL,APP
SETD8,CLU
ARF4,PHKG2
PSTPIP2,CDK4
ZBTB7B,STK11
DYSF,MAP3K5
KRT37,CASP8
SELE,ANLN
ANKAR,APP
DPH3,EEF1A1
CNTNAP4,DMD
TAF9B,KRTAP10-9
P4HA2,CDK4
ATP5F1,USP9X
GPR142,CSNK2A1
PCDHA4,RPL10
RGPD4,LIG4
ECHS1,TMEM216
PRMT3,MITF
EFNA5,SUMO1
HMGN4,SUMO1
WDR92,FYN
C4orf29,TMEM17
IFRD2,TMEM17
PCYT1B,MNDA
SSRP1,MTUS2
POLR2J,TCEB2
RASGRF1,RPAP2
FBN3,CUL2
TERT,KRTAP10-7
CLPB,ITGA4
EIF4A3,TBC1D25
KRTAP3-3,ZNF20
C18orf8,MAX
ASB2,KRTAP10-3
OGFR,NOTCH2NL
RGS6,NCOR1
CXorf40A,COL1A1
S100A6,RBPJ
ANKRD40,LIG4
PSPC1,TMEM216
GNB2L1,NLRP12
STAT1,YAE1D1
KAT5,SOD1
CACNB1,XRCC6
IFIT2,CREBBP
RETSAT,ILF2
ABCA1,HDAC9
DESI1,TMEM17
AGER,CUL4A
POMZP3,MTUS2
PRL,CALM1
BIRC5,TCEB2
SERPINH1,PINX1
TEAD2,PSMD2
LHPP,FN1
GAPDHS,FN1
CDR1,PAX8
KRBOX4,TUFM
UGGT2,JUN
ARG1,PHKG2
RCAN2,HSPA5
EPHA5,LNX1
WDR76,PAXIP1
ACVR1C,YWHAQ
CPB2,PML
CTNNBIP1,ACTA1
TXK,TP53
PRICKLE2,TCTN1
PARK2,KRTAP9-2
SPIN2A,HSPA5
FAM98C,HTT
TMPRSS11D,UBC
PAK6,NSUN2
OAZ3,MYC
PGAP2,TRAF1
PTER,PML
ADORA2A,SLC9A3R1
CCNF,TCTN1
OAS2,EEF1A1
ANXA7,FRA10AC1
ADCY2,CDK4
HSP90AA2P,HSP90AA1
SOX11,HHEX
RAB7A,DISC1
HRH2,NFKB1
ITPR2,EEF1A1
METTL21A,SH3KBP1
ADSSL1,CUL4B
AP4S1,SF3B3
DUSP11,TADA2A
NECAB1,TP53
ALDH3B1,FYN
TSHB,TEX11
PDE8A,TEX11
MED17,TCTN1
PIN1P1,TBC1D16
PLCXD2,SIRT7
TRIM16L,SIRT7
CTNNAL1,CDK4
NLN,PSMD2
NTN3,ADORA2B
METTL23,FRK
CCDC102B,TCTN2
GPN3,KRTAP10-5
ANKRD13A,LNX1
HAGHL,LNX1
BTBD10,XRCC6
NUAK2,HIST1H3A
WDR36,KRT40
CNIH4,KRT40
KPNA1,AGO4
ZBTB5,TEX11
FAM117A,TRIB3
PEX12,HECW2
RHBDF1,SIRT7
GIPC2,COPS6
PMS2,PDZK1
PLEKHA5,MTUS2
LMNA,USP43
LAMTOR5,CHM
KCNK18,STK17A
WTIP,CAND1
C2orf57,GOLT1B
TBC1D7,MEOX2
OCRL,PML
SPAG1,TADA2A
FAM57A,MNDA
PIGC,ILK
PJA1,COL7A1
C10orf54,PYHIN1
ELANE,MAPK14
RBM27,TCTN1
GABRD,ASAP3
COL11A1,MEOX2
RIT2,NEDD4L
DHX8,KRTAP10-7
ANAPC2,RAD52
RNF217,SIRT7
RN5S1@,TUBB
ADCY5,CDK4
SAMHD1,GAB1
CACNA1C,VKORC1
DENND1A,BTRC
SOS1,RPL10L
ZNF773,HSP90AA1
ATPAF2,RPL23A
KMT2E,STAT3
C3AR1,PRKDC
SLC7A2,HSP90AB1
HIF3A,RPL31
SPRED2,LIG4
FCGR2C,HDAC5
CEP128,RPL10A
PDE3A,MEOX2
CPB2,SF3B3
PHIP,MEOX2
EHD3,LNX1
NTPCR,TADA2A
CTTNBP2NL,LYAR
CRACR2B,SRC
