ComplexID,Organism,subunits(UniProt IDs),subunits(Gene name)
229,Human,O60244;O75586;P24863;P49336;Q13503;Q9BTT4;Q9ULK4,MED14;MED6;CCNC;CDK8;MED21;MED10;MED23
230,Human,A0JLT2;O43513;O60244;O75448;O75586;O95402;P24863;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9BWU1;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7,MED19;MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED22;MED1;MED27;MED13L;MED25;MED12;MED8;MED30;MED15;MED10;MED18;CDK19;MED28;MED20;MED4;MED17;MED9;MED29;MED11;MED13;MED23;MED16;MED31
232,Human,O43513;O60244;O75448;O75586;O95402;Q15648;Q71SY5;Q93074;Q96G25;Q96RN5;Q9NPJ6;Q9NVC6;Q9UHV7;Q9UKU7;Q9ULK4,MED7;MED14;MED24;MED6;MED26;MED1;MED25;MED12;MED8;MED15;MED4;MED17;MED13;ACAD8;MED23
234,Human,O60264;Q9NRF9;Q9NRG0;Q9NRL2,SMARCA5;POLE3;CHRAC1;BAZ1A
236,Human,O60264;Q9UIG0,SMARCA5;BAZ1B
238,Human,O14497;O96019;P38398;P51531;P51532;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3,ARID1A;ACTL6A;BRCA1;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1
240,Human,P38398;Q99708;Q9GZX5,BRCA1;RBBP8;ZNF350
242,Human,P38398;Q9BX63,BRCA1;BRIP1
243,Human,P06493;P14635;Q15311,CDK1;CCNB1;RALBP1
244,Human,O15287;O15360;P15927;P27694;P35244;P40692;P54132;Q00597;Q13472;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38,FANCG;FANCA;RPA2;RPA1;RPA3;MLH1;BLM;FANCC;TOP3A;RMI1;FANCE;FANCF;FANCL
245,Human,O15287;O15360;Q00597;Q0VG06;Q8NB91;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38,FANCG;FANCA;FANCC;FAAP100;FANCB;RMI1;FANCE;FANCF;FANCL
246,Human,P40692;P54132;Q13472;Q9H9A7,MLH1;BLM;TOP3A;RMI1
247,Human,O95782;P14635;P49757;Q15311;Q9Y6I3,AP2A1;CCNB1;NUMB;RALBP1;EPN1
248,Human,O15287;O15360;P15927;P27694;P35244;P54132;Q00597;Q13472;Q9HB96;Q9NPI8;Q9NW38,FANCG;FANCA;RPA2;RPA1;RPA3;BLM;FANCC;TOP3A;FANCE;FANCF;FANCL
254,Human,Q9BWT6;Q9P2W1,MND1;PSMC3IP
256,Human,O15315;O43502,RAD51B;RAD51C
261,Human,O15315;O43502;O43542;O43543;O75771,RAD51B;RAD51C;XRCC3;XRCC2;RAD51D
262,Human,O43543;O75771,XRCC2;RAD51D
265,Human,Q13535;Q8WXE1,ATR;ATRIP
266,Human,O75943;P35249;P35250;P40937;P40938,RAD17;RFC4;RFC2;RFC5;RFC3
271,Human,O60671;O60921;Q99638,RAD1;HUS1;RAD9A
274,Human,O60671;O60921;O75943;P35249;P35250;P40937;P40938;Q99638,RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A
278,Human,P35249;P35250;P40937,RFC4;RFC2;RFC5
279,Human,P35249;P35250;P35251;P40937;P40938,RFC4;RFC2;RFC1;RFC5;RFC3
280,Human,P04406;P09429;P11142;P26583;P30101,GAPDH;HMGB1;HSPA8;HMGB2;PDIA3
282,Human,O60216;O60264;O94776;O95983;Q09028;Q12873;Q13330;Q13547;Q14683;Q16576;Q8N3U4;Q8WVM7;Q92769;Q9NRL2;Q9UBB5;Q9UQE7,RAD21;SMARCA5;MTA2;MBD3;RBBP4;CHD3;MTA1;HDAC1;SMC1A;RBBP7;STAG2;STAG1;HDAC2;BAZ1A;MBD2;SMC3
283,Human,O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3,SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A
284,Human,O43513;O60244;O75448;O75586;O95402;Q13503;Q15648;Q71SY5;Q96RN5;Q9NVC6;Q9ULK4,MED7;MED14;MED24;MED6;MED26;MED21;MED1;MED25;MED15;MED17;MED23
285,Human,P12004;P40692;P54277,PCNA;MLH1;PMS1
286,Human,P12004;P43246;P52701,PCNA;MSH2;MSH6
287,Human,O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4,MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23
288,Human,O43513;O60244;O75448;O75586;O95402;P24863;P49336;Q13503;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4,MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23
290,Human,P12004;P40692;P43246;P54278,PCNA;MLH1;MSH2;PMS2
291,Human,P40692;P43246;P54278,MLH1;MSH2;PMS2
297,Human,P12004;P28340;P49005;Q15054;Q9HCU8,PCNA;POLD1;POLD2;POLD3;POLD4
298,Human,P27695;P40763;Q16665;Q99966,APEX1;STAT3;HIF1A;CITED1
299,Human,Q14653;Q92793,IRF3;CREBBP
300,Human,O43513;O60244;O75448;O75586;Q13503;Q6P2C8;Q9BTT4;Q9H944;Q9NVC6;Q9Y2W1;Q9Y2X0;Q9Y3C7,MED7;MED14;MED24;MED6;MED21;MED27;MED10;MED20;MED17;THRAP3;MED16;MED31
301,Human,O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q6P2C8;Q93074;Q9BTT4;Q9H944;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0;Q9Y3C7,MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED27;MED12;MED10;MED20;MED17;MED13;THRAP3;MED16;MED31
302,Human,O96019;P15923;Q53TQ3;Q6P4R8;Q6PI98;Q8NBZ0;Q96EZ8;Q9C086;Q9H981;Q9H9F9;Q9ULG1;Q9Y230;Q9Y265,ACTL6A;TCF3;INO80D;NFRKB;INO80C;INO80E;MCRS1;INO80B;ACTR8;ACTR5;INO80;RUVBL2;RUVBL1
304,Human,O43257;O95619;O96019;P0C0S5;Q15906;Q6ZRS2;Q96CJ1;Q9GZN1;Q9Y230;Q9Y265,ZNHIT1;YEATS4;ACTL6A;H2AZ1;VPS72;SRCAP;EAF2;ACTR6;RUVBL2;RUVBL1
305,Human,P08708;P08865;P15880;P22090;P23396;P25398;P39019;P42677;P46781;P46782;P46783;P60866;P61247;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62701;P62753;P62841;P62847;P62851;P62854;P62857;P62861;P62979;P63220,RPS17;RPSA;RPS2;RPS4Y1;RPS3;RPS12;RPS19;RPS27;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21
306,Human,P05386;P05387;P05388;P08708;P08865;P15880;P18077;P18124;P18621;P22090;P23396;P25398;P26373;P27635;P30050;P32969;P35268;P36578;P39019;P39023;P40429;P42677;P42766;P46776;P46777;P46778;P46779;P46781;P46782;P46783;P47914;P49207;P50914;P60866;P61247;P61254;P61313;P61353;P61513;P61927;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62424;P62701;P62750;P62753;P62829;P62841;P62847;P62851;P62854;P62857;P62861;P62888;P62891;P62899;P62906;P62910;P62913;P62917;P62945;P62979;P62987;P63173;P63220;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8,RPLP1;RPLP2;RPLP0;RPS17;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS4Y1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9; RPL9P7; RPL9P8; RPL9P9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36
308,Human,P05386;P05387;P05388;P18077;P18124;P18621;P26373;P27635;P30050;P32969;P35268;P36578;P39023;P40429;P42766;P46776;P46777;P46778;P46779;P47914;P49207;P50914;P61254;P61313;P61353;P61513;P61927;P62424;P62750;P62829;P62888;P62891;P62899;P62906;P62910;P62913;P62917;P62945;P62987;P63173;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8,RPLP1;RPLP2;RPLP0;RPL35A;RPL7;RPL17;RPL13;RPL10;RPL12;RPL9; RPL9P7; RPL9P8; RPL9P9;RPL22;RPL4;RPL3;RPL13A;RPL35;RPL27A;RPL5;RPL21;RPL28;RPL29;RPL34;RPL14;RPL26;RPL15;RPL27;RPL37A;RPL37;RPL7A;RPL23A;RPL23;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;UBA52;RPL38;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36
